Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Meat & Seafood,Lunch Meat,Other Meat,San Daniele,"San Daniele Calabrese Salame, Prosciutto, Capocollo",,"San Daniele Calabrese Salame, Prosciutto, Capocollo",7.39,0,Market Basket,6 oz,6 oz,5451.jpg,,22
Meat & Seafood,Lunch Meat,Pepperoni,Margherita,Margherita Stick Pepperoni,,Margherita Stick Pepperoni,3.69,0,Market Basket,7 oz,7 oz,17286.jpg,,22
Meat & Seafood,Lunch Meat,Pepperoni,Market Basket,Market Basket Thin Sliced Pepperoni,,Market Basket Thin Sliced Pepperoni,2.98,0,Market Basket,Approx: 0.49 lb at $6.09/lb,Approx: 0.49 lb at $6.09/lb,5399.jpg,,22
Meat & Seafood,Lunch Meat,Salami,Busseto Foods,"Busseto Foods Salami, Italian Dry",,"Busseto Foods Salami, Italian Dry",4.09,0,Market Basket,8 oz,8 oz,17290.jpg,,22
Meat & Seafood,Lunch Meat,Salami,Columbus,Columbus Calabrese Salami,,Columbus Calabrese Salami,4.39,0,Market Basket,5 oz,5 oz,5420.jpg,,22
Meat & Seafood,Lunch Meat,Salami,Columbus,Columbus Italian Dry Salami,,Columbus Italian Dry Salami,4.39,0,Market Basket,5 oz,5 oz,5419.jpg,,22
Meat & Seafood,Lunch Meat,Turkey,Deli,Deli Honey Turkey,,Deli Honey Turkey,5.49,0,Market Basket,0.59 lb,0.59 lb,No Image.jpg,,22
Meat & Seafood,Lunch Meat,Turkey,Extra,Butterball Honey Roasted Extra Thin Sliced Turkey Breast,,Butterball Honey Roasted Extra Thin Sliced Turkey Breast,4.29,0,Market Basket,9 oz,9 oz,5454.jpg,,1
Meat & Seafood,Lunch Meat,Turkey,Extra,Butterball Oven Roasted Extra Thin Sliced Turkey Breast,,Butterball Oven Roasted Extra Thin Sliced Turkey Breast,4.29,0,Market Basket,9 oz,9 oz,5455.jpg,,1
Meat & Seafood,Lunch Meat,Turkey,Fresh,Oscar Mayer Deli Fresh Shaved Honey Smoked Turkey Breast,,Oscar Mayer Deli Fresh Shaved Honey Smoked Turkey Breast,6.09,0,Market Basket,9 oz,9 oz,5408.jpg,,1
Meat & Seafood,Lunch Meat,Turkey,Fresh,Oscar Mayer Deli Fresh Shaved Oven Roasted Turkey Breast,,Oscar Mayer Deli Fresh Shaved Oven Roasted Turkey Breast,7.09,0,Market Basket,1 lb,1 lb,5405.jpg,,1
Meat & Seafood,Lunch Meat,Turkey,Market Basket,Market Basket Deli Turkey Meat,,Market Basket Deli Turkey Meat,7.39,0,Market Basket,1 lb,1 lb,Market Basket.jpg,,22
Meat & Seafood,Lunch Meat,Turkey,Market Basket,Market Basket Fresh Cut Turkey Ends,,Market Basket Fresh Cut Turkey Ends,3.69,0,Market Basket,Approx: 1.00 lb at $3.69/lb,Approx: 1.00 lb at $3.69/lb,Market Basket.jpg,,22
Meat & Seafood,Lunch Meat,Turkey,Thin 'n Trim,Thin 'n Trim Thinly Sliced Honey Turkey Breast,,Thin 'n Trim Thinly Sliced Honey Turkey Breast,3.69,0,Market Basket,8 oz,8 oz,No Image.jpg,,22
Meat & Seafood,Lunch Meat,Turkey,Thin 'n Trim,Thin 'n Trim Turkey Breast,,Thin 'n Trim Turkey Breast,3.69,0,Market Basket,6 oz,6 oz,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,85% Lean,85% Lean Beef Burgers,,85% Lean Beef Burgers,8.59,0,Market Basket,1 lb,1 lb,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Angus Beef,Angus Beef Boneless Chuck Eye Steak,,Angus Beef Boneless Chuck Eye Steak,6.49,0,Market Basket,1 lb,1 lb,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Certified Angus Beef,Certified Angus Beef Boneless Chuck Stew,,Certified Angus Beef Boneless Chuck Stew,10.04,0,Market Basket,1 lb,1 lb,16670.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Certified Angus Beef,Certified Angus Beef Boneless Strip Steak USDA Prime,,Certified Angus Beef Boneless Strip Steak USDA Prime,9.99,0,Market Basket,0.7 lb,0.7 lb,4048.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Certified Angus Beef,Certified Angus Beef First Cut Top Steak,,Certified Angus Beef First Cut Top Steak,4.89,0,Market Basket,1 lb,1 lb,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Certified Angus Beef,Certified Angus Beef Sirloin Tip Steaks USDA Choice,,Certified Angus Beef Sirloin Tip Steaks USDA Choice,14.98,0,Market Basket,1 lb,1 lb,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Certified Angus Beef,Certified Angus Beef Thin Boneless Chuck Steak,,Certified Angus Beef Thin Boneless Chuck Steak,6.69,0,Market Basket,1 lb,1 lb,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Extra,93% Lean 7% Fat Extra Lean Beef Patties,,93% Lean 7% Fat Extra Lean Beef Patties,6.39,0,Market Basket,1 lb,1 lb,No Image.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,85% Lean Ground Beef,,85% Lean Ground Beef,5.99,0,Market Basket,1 lb,1 lb,16673.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,90% Ground Beef,,90% Ground Beef,6.49,0,Market Basket,1 lb,1 lb,16665.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,90% Lean Ground Sirloin,,90% Lean Ground Sirloin,6.49,0,Market Basket,1 lb,1 lb,16664.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Beef Oxtail,,Beef Oxtail,13.41,0,Market Basket,Approx: 1.37 lb at $9.79/lb,Approx: 1.37 lb at $9.79/lb,Market Basket.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Boneless Beef Chuck,,Boneless Beef Chuck,4.89,0,Market Basket,1 lb,1 lb,Market Basket.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Boneless Thin Chuck,,Boneless Thin Chuck,6.09,0,Market Basket,1 lb,1 lb,Market Basket.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket 80% Lean Ground Beef,,Market Basket 80% Lean Ground Beef,3.69,0,Market Basket,1 lb,1 lb,4047.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket 85% Lean Ground Beef,,Market Basket 85% Lean Ground Beef,6.14,0,Market Basket,Approx: 1.16 lb at $5.29/lb,Approx: 1.16 lb at $5.29/lb,4035.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket 85% Lean Ground Beef,,Market Basket 85% Lean Ground Beef,11.69,0,Market Basket,1 lb,1 lb,4045.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket 85% Lean Ground Patties 6 Pack,,Market Basket 85% Lean Ground Patties 6 Pack,6.19,0,Market Basket,Approx: 1.27 lb at $4.89/lb,Approx: 1.27 lb at $4.89/lb,Market Basket.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket Beef Bottom Round Rump Roast,,Market Basket Beef Bottom Round Rump Roast,15.26,0,Market Basket,Approx: 3.12 lb at $4.89/lb,Approx: 3.12 lb at $4.89/lb,Market Basket.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket Beef Chuck Boneless Beef For Stew,,Market Basket Beef Chuck Boneless Beef For Stew,9.48,0,Market Basket,Approx: 1.46 lb at $6.49/lb,Approx: 1.46 lb at $6.49/lb,4036.jpg,,22
Meat & Seafood,Meat & Seafood Counter,Beef,Market Basket,Market Basket Beef Chuck Boneless Chuck Roast,,Market Basket Beef Chuck Boneless Chuck Roast,4.79,0,Market Basket,1 lb,1 lb,Market Basket.jpg,,22
