Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Laundry & Paper Goods,Laundry,Laundry Detergent,Era,Era OXIBooster Detergent,,Era OXIBooster Detergent,14.99,1,Market Basket,50 fl oz,50 fl oz,DE0103.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Febreze,Febreze Odor Eliminator Quick Dry Mist Crisp Clean Laundry Detergent,,Febreze Odor Eliminator Quick Dry Mist Crisp Clean Laundry Detergent,6.24,1,Market Basket,15 fl oz,15 fl oz,DE0134.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,"Gain flings! Liquid Laundry Detergent Pacs, Original",,"Gain flings! Liquid Laundry Detergent Pacs, Original",6.86,1,Market Basket,16 count,16 count,16783.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, Original",,"Gain Aroma Boost Liquid Laundry Detergent, Original",7.49,1,Market Basket,50 fl oz,50 fl oz,4586.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,"Gain Powder Laundry Detergent for Regular and HE Washers, Hawaiian Aloha Scent,",,"Gain Powder Laundry Detergent for Regular and HE Washers, Hawaiian Aloha Scent,",13.74,1,Market Basket,100 oz,100 oz,4593.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, blissful breeze",,"Gain Aroma Boost Liquid Laundry Detergent, blissful breeze",13.74,1,Market Basket,100 fl oz,100 fl oz,DE0086.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, island fresh",,"Gain Aroma Boost Liquid Laundry Detergent, island fresh",13.74,1,Market Basket,100 fl oz,100 fl oz,DE0087.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,"Gain Aroma Boost Liquid Laundry Detergent, moonlight breeze",,"Gain Aroma Boost Liquid Laundry Detergent, moonlight breeze",13.74,1,Market Basket,100 fl oz,100 fl oz,DE0088.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,Gain Fireworks in wash scent moonlight breeze Laundry Detergent,,Gain Fireworks in wash scent moonlight breeze Laundry Detergent,8.74,1,Market Basket,285 g,285 g,DE0089.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,Gain Fireworks in wash scent island fresh Laundry Detergent,,Gain Fireworks in wash scent island fresh Laundry Detergent,8.74,1,Market Basket,285 g,285 g,DE0090.jpg,,15
Laundry & Paper Goods,Laundry,Laundry Detergent,Gain,Gain Fireworks in wash scent original Laundry Detergent,,Gain Fireworks in wash scent original Laundry Detergent,8.74,1,Market Basket,285 g,285 g,DE0091.jpg,,15
