Category,Sub Category,Type,Brand,Product Name,UPC Code,Product Description,Price,Tax,Store,Size,UOM,Image,Spice Level,Aisle No.
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Hot Pockets,Hot Pockets Italian Style Meatballs and Mozzarella Garlic Buttery Crust 5 pack,043695671193,,6.24,0,Market Basket,22.5 oz,22.5 oz,X4798.jpg,,19
Frozen Food,Frozen Dinners & Entrees,Frozen Appetizers & Sides,Hot Pockets,Hot Pockets Italian Style Meatballs and Mozzarella Garlic Buttery Crust 12 pack,043695075137,,12.49,0,Market Basket,54 oz,54 oz,X4799.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,JimmyDean,JimmyDean Bacon,077900471315,,3.49,0,Market Basket,7 oz,7 oz,X4980.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,JimmyDean,JimmyDean Sausage & Gravy ,077900471414,,3.49,0,Market Basket,7 oz,7 oz,X4981.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,JimmyDean,JimmyDean Sausage  ,077900471322,,3.49,0,Market Basket,7 oz,7 oz,X4982.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,JimmyDean,JimmyDean Meat Lovers ,077900706158,,3.49,0,Market Basket,7 oz,7 oz,X4983.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,JimmyDean,JimmyDean Turkey Sausage ,077900471339,,3.49,0,Market Basket,7 oz,7 oz,X4984.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Breakfast,JimmyDean,JimmyDean Skillets Sausage ,077900491603,,5.49,0,Market Basket,18 oz,18 oz,X4987.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Nutri-Grain Original,038000403705,,3.36,0,Market Basket,12.30 oz,12.30 oz,X5017.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Thick & Fluffy Double & Fulffy ,038000185434,,3.36,0,Market Basket,11.6 oz,11.6 oz,X5018.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Thick & Fluffy Cinnamon Brown Sugar ,038000492747,,3.36,0,Market Basket,11.6 oz,11.6 oz,X5019.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Thick & Fluffy Blueberry ,038000131929,,3.36,0,Market Basket,11.6 oz,11.6 oz,X5020.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Thick & Fluffy Original ,038000492761,,3.36,0,Market Basket,11.6 oz,11.6 oz,X5021.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Thick & Fluffy Salted Caramel ,038000218736,,3.36,0,Market Basket,11.6 oz,11.6 oz,X5022.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Minis Homestyle Waffles ,038000017148,,2.50,0,Market Basket,10.9 oz,10.9 oz,X5023.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Minis Cinnamon Toast ,038000404405,,2.99,0,Market Basket,10.75 oz,10.75 oz,X5024.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Paw Patrol Homestyle ,038000196027,,2.99,0,Market Basket,12.3 oz,12.3 oz,X5025.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Blueberry ,038000403200,,2.99,0,Market Basket,12.3 oz,12.3 oz,X5034.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Apple Cinnamon ,038000234156,,2.99,0,Market Basket,12.30 oz,12.30 oz,X5035.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Strawberry ,038000103408,,2.99,0,Market Basket,12.30 oz,12.30 oz,X5036.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Buttermilk,038000402906,,2.99,0,Market Basket,12.30 oz,12.30 oz,X5037.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Homestyle ,038000402609,,2.99,0,Market Basket,12.3 oz,12.3 oz,X5038.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Minis Cinnamon Toast ,038000256035,,6.11,0,Market Basket,25.8 oz,25.8 oz,X5039.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Buttermilk,038000403101,,6.11,0,Market Basket,29.6 oz,29.6 oz,X5040.jpg,,19
Frozen Food,Frozen Breakfast,Frozen Waffles,Kellogg's ,Kellogg's Eggo Blueberry ,038000333606,,6.11,0,Market Basket,29.6 oz,29.6 oz,X5041.jpg,,19
