"pdid","pid","weight","length","breadth","height","shipping_amount","shipping_type","created_at","updated_at"
"178","3659",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:47:54",NULL
"179","4025",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:50:45",NULL
"180","4027",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:51:35",NULL
"181","9166",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:53:19",NULL
"182","9586",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:53:32",NULL
"183","9585",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:53:43",NULL
"184","9583",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:53:56",NULL
"185","4727",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:54:36",NULL
"186","5775",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 00:56:17",NULL
"187","4408",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 01:01:32",NULL
"188","4407",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 01:02:54",NULL
"190","5712",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 19:47:24",NULL
"191","5722",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 19:47:34",NULL
"192","5717",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 19:47:55",NULL
"193","13817",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 19:48:12",NULL
"194","5711",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 19:48:49",NULL
"195","214",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:41:07",NULL
"196","219",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:42:45",NULL
"197","223",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:43:16",NULL
"198","224",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:43:59",NULL
"199","121",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:45:01",NULL
"200","122",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:46:03",NULL
"201","123",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:48:44",NULL
"202","124",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:50:20",NULL
"203","125",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:50:54",NULL
"205","98",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:52:05",NULL
"206","99",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:52:37",NULL
"207","100",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:53:14",NULL
"208","107",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:54:17",NULL
"209","8075",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 20:59:21",NULL
"210","9613",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:00:11",NULL
"211","9946",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:01:24",NULL
"214","13689",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:07:00",NULL
"215","13668",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:08:51",NULL
"216","13897",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:10:37",NULL
"217","167",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:19:39",NULL
"218","8199",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:21:39",NULL
"219","58",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:22:11",NULL
"220","4498",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:22:41",NULL
"221","6772",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:23:17",NULL
"222","6758",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:23:43",NULL
"223","320",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:24:10",NULL
"224","10140",NULL,NULL,NULL,NULL,NULL,"0","2020-09-17 21:24:51",NULL
"225","5716",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 14:36:09",NULL
"226","5719",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 14:36:20",NULL
"227","9484",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:37:21",NULL
"228","10279",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:39:16",NULL
"229","6654",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:40:59",NULL
"230","3605",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:41:56",NULL
"231","3606",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:42:17",NULL
"232","3974",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:42:37",NULL
"233","6049",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 19:43:44",NULL
"234","7040",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 20:04:35",NULL
"236","5618",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 20:17:53",NULL
"237","9525",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 20:20:33",NULL
"240","3931",NULL,NULL,NULL,NULL,NULL,"0","2020-09-18 21:50:02",NULL
"244","3665",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 16:37:36",NULL
"245","8298",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 16:46:32",NULL
"246","8195",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 16:52:23",NULL
"247","7188",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 16:53:45",NULL
"248","3840",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 16:55:45",NULL
"249","3790",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 16:57:53",NULL
"250","4047",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 17:01:36",NULL
"251","4248",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 17:07:44",NULL
"252","3514",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 17:10:18",NULL
"253","3925",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 17:10:57",NULL
"254","3651",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 19:11:14",NULL
"255","5759",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 23:52:50",NULL
"257","5758",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 23:56:04",NULL
"258","5763",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 23:57:51",NULL
"259","5760",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 23:57:59",NULL
"260","5764",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 23:58:08",NULL
"261","5766",NULL,NULL,NULL,NULL,NULL,"0","2020-09-19 23:58:18",NULL
"262","5757",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:01:05",NULL
"263","5765",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:01:18",NULL
"264","5761",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:01:30",NULL
"265","5844",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:58:56",NULL
"266","5843",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:59:06",NULL
"267","5842",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:59:15",NULL
"268","5845",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 00:59:25",NULL
"269","5750",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 01:43:25",NULL
"270","5756",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 01:43:36",NULL
"271","5754",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 01:43:47",NULL
"272","5749",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 01:43:56",NULL
"273","5753",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 01:44:05",NULL
"274","5755",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 01:44:37",NULL
"276","5824",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 02:28:20",NULL
"277","5825",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 02:28:44",NULL
"278","5834",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 02:35:53",NULL
"279","5833",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 02:36:05",NULL
"280","5832",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 02:36:15",NULL
"281","5837",NULL,NULL,NULL,NULL,NULL,"0","2020-09-20 02:36:23",NULL
"287","10638",NULL,NULL,NULL,NULL,NULL,"0","2020-09-24 20:18:07",NULL
"288","4136",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 17:59:07",NULL
"289","68",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:01:17",NULL
"291","70",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:01:49",NULL
"292","71",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:02:06",NULL
"293","69",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:02:23",NULL
"294","13863",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:03:57",NULL
"297","13461",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:11:58",NULL
"298","13539",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 18:13:12",NULL
"299","4060",NULL,NULL,NULL,NULL,NULL,"0","2020-09-25 20:41:00",NULL
"300","13793",NULL,NULL,NULL,NULL,NULL,"0","2020-09-26 16:16:11",NULL
"301","10249",NULL,NULL,NULL,NULL,NULL,"0","2020-09-26 16:17:34",NULL
"303","9368",NULL,NULL,NULL,NULL,NULL,"0","2020-09-26 16:26:47",NULL
"304","3771",NULL,NULL,NULL,NULL,NULL,"0","2020-09-26 16:27:59",NULL
"305","3802",NULL,NULL,NULL,NULL,NULL,"0","2020-09-26 16:28:37",NULL
"306","5487",NULL,NULL,NULL,NULL,NULL,"0","2020-09-27 00:30:11",NULL
"307","5499",NULL,NULL,NULL,NULL,NULL,"0","2020-09-27 00:33:27",NULL
"308","5462",NULL,NULL,NULL,NULL,NULL,"0","2020-09-27 01:18:23",NULL
"310","81",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:06:01",NULL
"311","4475",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:06:36",NULL
"312","9256",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:07:31",NULL
"313","9463",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:07:54",NULL
"314","9460",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:09:03",NULL
"315","14695",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:09:36",NULL
"316","15136",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:11:25",NULL
"317","9687",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:12:30",NULL
"318","4384",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:12:58",NULL
"319","3581",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:14:52",NULL
"320","4132",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:16:52",NULL
"321","13412",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:17:36",NULL
"322","6103",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:18:11",NULL
"323","13448",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:18:47",NULL
"324","6557",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:20:18",NULL
"325","6423",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:21:28",NULL
"326","4490",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:23:25",NULL
"327","5840",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:23:48",NULL
"328","5835",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:25:32",NULL
"329","7106",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:27:20",NULL
"330","8512",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:27:57",NULL
"331","5713",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:30:33",NULL
"332","94",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:31:39",NULL
"333","6637",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:34:55",NULL
"334","6646",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:35:20",NULL
"335","6645",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:35:39",NULL
"336","6644",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:36:21",NULL
"337","6643",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:36:40",NULL
"338","6642",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:37:07",NULL
"339","6641",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:37:49",NULL
"340","6640",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:38:06",NULL
"341","6639",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:38:23",NULL
"342","6638",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:38:42",NULL
"343","6636",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:39:03",NULL
"344","6635",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:42:05",NULL
"345","6634",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:42:50",NULL
"346","6633",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:43:17",NULL
"347","6632",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:43:40",NULL
"348","6613",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:44:08",NULL
"349","6612",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:44:32",NULL
"350","6611",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:46:24",NULL
"351","5798",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:46:56",NULL
"352","3660",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:50:35",NULL
"353","9975",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:51:48",NULL
"354","5839",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:55:50",NULL
"355","5838",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:56:25",NULL
"356","15320",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:57:15",NULL
"357","15212",NULL,NULL,NULL,NULL,NULL,"0","2020-09-30 23:57:32",NULL
"359","14829",NULL,NULL,NULL,NULL,NULL,"0","2020-10-01 00:00:06",NULL
